m_date,Player ID,Player_surname,Player_firstname,Team,Team Id,Opposition,Opposition id,Mins Played,Goals,Shots On Target,Shots Off Target,Penalty Goals,Total Successful Passes,Total Unsuccessful Passes
2012-05-06,11378,Williamson,Michael,Newcastle United,4,Manchester City,43,90,0,0,0,0,24,8
2012-04-21,11378,Williamson,Michael,Newcastle United,4,Stoke City,110,90,0,0,0,0,37,7
2012-01-15,11378,Williamson,Michael,Newcastle United,4,Queens Park Rangers,52,90,0,0,0,0,43,14
2012-03-18,11378,Williamson,Michael,Newcastle United,4,Norwich City,45,90,0,0,0,0,26,15
2012-04-01,11378,Williamson,Michael,Newcastle United,4,Liverpool,14,90,0,1,2,0,22,5
2012-05-01,32318,Wilson,Marc,Stoke City,110,Everton,11,90,0,0,0,0,16,18
2011-09-24,32318,Wilson,Marc,Stoke City,110,Manchester United,1,90,0,1,1,0,20,10
2012-04-28,32318,Wilson,Marc,Stoke City,110,Arsenal,3,90,0,0,0,0,27,10
2012-04-07,32318,Wilson,Marc,Stoke City,110,Wolverhampton Wanderers,39,90,0,0,1,0,20,11
2012-02-26,32318,Wilson,Marc,Stoke City,110,Swansea City,80,90,0,0,0,0,10,7
2011-08-14,32318,Wilson,Marc,Stoke City,110,Chelsea,8,90,0,0,0,0,13,12
2011-10-15,32318,Wilson,Marc,Stoke City,110,Fulham,54,90,0,0,1,0,25,15
2011-12-26,32318,Wilson,Marc,Stoke City,110,Aston Villa,7,90,0,1,0,0,16,6
2012-01-21,32318,Wilson,Marc,Stoke City,110,West Bromwich Albion,35,90,0,0,1,0,21,15
2011-09-10,32318,Wilson,Marc,Stoke City,110,Liverpool,14,90,0,0,0,0,7,6
2012-03-24,32318,Wilson,Marc,Stoke City,110,Manchester City,43,90,0,0,0,0,14,7
2011-12-11,32318,Wilson,Marc,Stoke City,110,Tottenham Hotspur,6,90,0,0,0,0,18,7
2011-11-26,32318,Wilson,Marc,Stoke City,110,Blackburn Rovers,5,90,0,0,0,0,35,13
2011-10-31,32318,Wilson,Marc,Stoke City,110,Newcastle United,4,41,0,0,1,0,10,4
2011-12-31,32318,Wilson,Marc,Stoke City,110,Wigan Athletic,111,90,0,0,2,0,26,14
2012-02-04,32318,Wilson,Marc,Stoke City,110,Sunderland,56,90,0,0,0,0,28,15
2012-03-03,32318,Wilson,Marc,Stoke City,110,Norwich City,45,90,0,0,0,0,16,14
2011-09-24,973,Woodgate,Jonathan,Stoke City,110,Manchester United,1,90,0,0,1,0,14,3
2011-08-14,973,Woodgate,Jonathan,Stoke City,110,Chelsea,8,90,0,0,0,0,5,6
2011-12-26,973,Woodgate,Jonathan,Stoke City,110,Aston Villa,7,71,0,0,0,0,16,10
2012-01-21,973,Woodgate,Jonathan,Stoke City,110,West Bromwich Albion,35,53,0,0,0,0,10,7
2011-12-11,973,Woodgate,Jonathan,Stoke City,110,Tottenham Hotspur,6,84,0,0,0,0,9,3
2011-10-31,973,Woodgate,Jonathan,Stoke City,110,Newcastle United,4,90,0,0,0,0,17,5
